     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      5120,        30,         0,   0.016,pymatching,6cfad569f07d05c20956a4a103aa21a785e726b5dcd3d00611c86d4a54c8edd3,"{""d"":5,""eta"":1,""memory"":""V"",""p"":0.004,""params"":{""after_clifford1_depolarization"":0.0004,""after_clifford2_depolarization"":0.004,""after_reset_flip_probability"":0.008,""before_measure_flip_probability"":0.008,""before_round_data_bias_probability"":[0.0004,1],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0004,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
      2048,        21,         0,   0.016,pymatching,9c576f71713ee94ce4b6ccc28f428ca813c303c242475f2d1048345f421c0f06,"{""d"":7,""eta"":1,""memory"":""V"",""p"":0.005,""params"":{""after_clifford1_depolarization"":0.0005,""after_clifford2_depolarization"":0.005,""after_reset_flip_probability"":0.01,""before_measure_flip_probability"":0.01,""before_round_data_bias_probability"":[0.0005,1],""distance"":7,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0005,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
      5120,        65,         0,   0.016,pymatching,62e9611497d256be3cbbe322c2a7409f16527e6fde9f25196aa25998b726dc52,"{""d"":5,""eta"":1,""memory"":""V"",""p"":0.005,""params"":{""after_clifford1_depolarization"":0.0005,""after_clifford2_depolarization"":0.005,""after_reset_flip_probability"":0.01,""before_measure_flip_probability"":0.01,""before_round_data_bias_probability"":[0.0005,1],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0005,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     32768,       882,         0,   0.016,pymatching,b0a7b931cdce9acd2b9cb025da2f90054eae540bf4774e246cee0e44956429a8,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0.006,""params"":{""after_clifford1_depolarization"":0.0006000000000000001,""after_clifford2_depolarization"":0.006,""after_reset_flip_probability"":0.012,""before_measure_flip_probability"":0.012,""before_round_data_bias_probability"":[0.0006000000000000001,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0006000000000000001,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     36864,       473,         0,   0.031,pymatching,8ad67325793046842a6844a84b6064bf6b6f091fe5bd68be16e9a53b9b8459e9,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0.004,""params"":{""after_clifford1_depolarization"":0.0004,""after_clifford2_depolarization"":0.004,""after_reset_flip_probability"":0.008,""before_measure_flip_probability"":0.008,""before_round_data_bias_probability"":[0.0004,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0004,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     36864,       732,         0,   0.031,pymatching,2890f30b9f829a37fe89ef2a255f9d81f8b08897a63678f403a3eec949d60596,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0.005,""params"":{""after_clifford1_depolarization"":0.0005,""after_clifford2_depolarization"":0.005,""after_reset_flip_probability"":0.01,""before_measure_flip_probability"":0.01,""before_round_data_bias_probability"":[0.0005,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0005,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     10240,       107,         0,   0.031,pymatching,62e9611497d256be3cbbe322c2a7409f16527e6fde9f25196aa25998b726dc52,"{""d"":5,""eta"":1,""memory"":""V"",""p"":0.005,""params"":{""after_clifford1_depolarization"":0.0005,""after_clifford2_depolarization"":0.005,""after_reset_flip_probability"":0.01,""before_measure_flip_probability"":0.01,""before_round_data_bias_probability"":[0.0005,1],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0005,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     13312,        73,         0,   0.031,pymatching,6cfad569f07d05c20956a4a103aa21a785e726b5dcd3d00611c86d4a54c8edd3,"{""d"":5,""eta"":1,""memory"":""V"",""p"":0.004,""params"":{""after_clifford1_depolarization"":0.0004,""after_clifford2_depolarization"":0.004,""after_reset_flip_probability"":0.008,""before_measure_flip_probability"":0.008,""before_round_data_bias_probability"":[0.0004,1],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0004,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
      6144,        16,         0,   0.031,pymatching,dd51a5aae1345c4e34794d5d0050dc275d81aef10fb60777657eda8c1b6996aa,"{""d"":7,""eta"":1,""memory"":""V"",""p"":0.004,""params"":{""after_clifford1_depolarization"":0.0004,""after_clifford2_depolarization"":0.004,""after_reset_flip_probability"":0.008,""before_measure_flip_probability"":0.008,""before_round_data_bias_probability"":[0.0004,1],""distance"":7,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0004,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
      5120,        47,         0,   0.031,pymatching,9c576f71713ee94ce4b6ccc28f428ca813c303c242475f2d1048345f421c0f06,"{""d"":7,""eta"":1,""memory"":""V"",""p"":0.005,""params"":{""after_clifford1_depolarization"":0.0005,""after_clifford2_depolarization"":0.005,""after_reset_flip_probability"":0.01,""before_measure_flip_probability"":0.01,""before_round_data_bias_probability"":[0.0005,1],""distance"":7,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0005,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     24576,       594,         0,   0.000,pymatching,b0a7b931cdce9acd2b9cb025da2f90054eae540bf4774e246cee0e44956429a8,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0.006,""params"":{""after_clifford1_depolarization"":0.0006000000000000001,""after_clifford2_depolarization"":0.006,""after_reset_flip_probability"":0.012,""before_measure_flip_probability"":0.012,""before_round_data_bias_probability"":[0.0006000000000000001,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0006000000000000001,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     36864,       709,         0,   0.016,pymatching,2890f30b9f829a37fe89ef2a255f9d81f8b08897a63678f403a3eec949d60596,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0.005,""params"":{""after_clifford1_depolarization"":0.0005,""after_clifford2_depolarization"":0.005,""after_reset_flip_probability"":0.01,""before_measure_flip_probability"":0.01,""before_round_data_bias_probability"":[0.0005,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0005,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     45056,       572,         0,   0.032,pymatching,8ad67325793046842a6844a84b6064bf6b6f091fe5bd68be16e9a53b9b8459e9,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0.004,""params"":{""after_clifford1_depolarization"":0.0004,""after_clifford2_depolarization"":0.004,""after_reset_flip_probability"":0.008,""before_measure_flip_probability"":0.008,""before_round_data_bias_probability"":[0.0004,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0004,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     11264,       238,         0,   0.000,pymatching,2890f30b9f829a37fe89ef2a255f9d81f8b08897a63678f403a3eec949d60596,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0.005,""params"":{""after_clifford1_depolarization"":0.0005,""after_clifford2_depolarization"":0.005,""after_reset_flip_probability"":0.01,""before_measure_flip_probability"":0.01,""before_round_data_bias_probability"":[0.0005,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0005,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
      5120,        15,         0,   0.031,pymatching,dd51a5aae1345c4e34794d5d0050dc275d81aef10fb60777657eda8c1b6996aa,"{""d"":7,""eta"":1,""memory"":""V"",""p"":0.004,""params"":{""after_clifford1_depolarization"":0.0004,""after_clifford2_depolarization"":0.004,""after_reset_flip_probability"":0.008,""before_measure_flip_probability"":0.008,""before_round_data_bias_probability"":[0.0004,1],""distance"":7,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0004,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     10240,        55,         0,   0.031,pymatching,6cfad569f07d05c20956a4a103aa21a785e726b5dcd3d00611c86d4a54c8edd3,"{""d"":5,""eta"":1,""memory"":""V"",""p"":0.004,""params"":{""after_clifford1_depolarization"":0.0004,""after_clifford2_depolarization"":0.004,""after_reset_flip_probability"":0.008,""before_measure_flip_probability"":0.008,""before_round_data_bias_probability"":[0.0004,1],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0004,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
      4096,        26,         0,   0.031,pymatching,9c576f71713ee94ce4b6ccc28f428ca813c303c242475f2d1048345f421c0f06,"{""d"":7,""eta"":1,""memory"":""V"",""p"":0.005,""params"":{""after_clifford1_depolarization"":0.0005,""after_clifford2_depolarization"":0.005,""after_reset_flip_probability"":0.01,""before_measure_flip_probability"":0.01,""before_round_data_bias_probability"":[0.0005,1],""distance"":7,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0005,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
      9216,       104,         0,   0.031,pymatching,62e9611497d256be3cbbe322c2a7409f16527e6fde9f25196aa25998b726dc52,"{""d"":5,""eta"":1,""memory"":""V"",""p"":0.005,""params"":{""after_clifford1_depolarization"":0.0005,""after_clifford2_depolarization"":0.005,""after_reset_flip_probability"":0.01,""before_measure_flip_probability"":0.01,""before_round_data_bias_probability"":[0.0005,1],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0005,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     50176,       660,         0,   0.031,pymatching,8ad67325793046842a6844a84b6064bf6b6f091fe5bd68be16e9a53b9b8459e9,"{""d"":3,""eta"":1,""memory"":""V"",""p"":0.004,""params"":{""after_clifford1_depolarization"":0.0004,""after_clifford2_depolarization"":0.004,""after_reset_flip_probability"":0.008,""before_measure_flip_probability"":0.008,""before_round_data_bias_probability"":[0.0004,1],""distance"":3,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0004,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
     14336,       167,         0,   0.032,pymatching,62e9611497d256be3cbbe322c2a7409f16527e6fde9f25196aa25998b726dc52,"{""d"":5,""eta"":1,""memory"":""V"",""p"":0.005,""params"":{""after_clifford1_depolarization"":0.0005,""after_clifford2_depolarization"":0.005,""after_reset_flip_probability"":0.01,""before_measure_flip_probability"":0.01,""before_round_data_bias_probability"":[0.0005,1],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0005,""rounds"":2,""x_distance"":null,""z_distance"":null}}",
